Time,Demand,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,cloud_cover,hour,dow,month,doy,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_holiday,demand_lag_24,demand_lag_48,demand_lag_72,demand_lag_168,demand_roll24_mean,demand_roll24_std,demand_roll168_mean,demand_roll168_std,temperature_2m_lag_24,relative_humidity_2m_lag_24,precipitation_lag_24,temp_squared,temp_hour_sin,temp_hour_cos,humidex_proxy,trend_ratio,lag24_over_lag168
2026-06-16 23:00:00,475.8516981,28.6,86,0.0,8.9,42,23,1,6,167,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0.27123391067291,-0.9625134626077081,0,465.0262,518.9917647,468.578,479.7054,452.3667478083334,28.139893780846617,437.35737695922626,43.565327386022155,28.1,87.0,0.0,817.96,-7.402224689932117,27.62547863186735,37.2,1.0343183209883446,0.9693995523085628
2026-06-17 00:00:00,469.8263158,28.7,87,0.0,8.2,7,0,2,6,168,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,439.6742105,493.9645614,438.62,454.6662069,452.8178102291667,28.436834266239185,437.33443825744047,43.54390540810121,27.9,89.0,0.0,823.6899999999999,0.0,28.7,37.4,1.0354039623163904,0.9670263675362674
2026-06-17 01:00:00,462.0942105,28.4,87,0.0,9.7,5,1,2,6,168,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,436.4861404,479.0178947,432.47,441.2996552,454.07414795,28.49689938254087,437.42467700089287,43.59571598126254,27.4,92.0,0.0,806.56,7.350460880911589,27.43229346660954,37.1,1.038062486696591,0.9890924120531694
2026-06-17 02:00:00,453.4822807,28.2,87,0.0,10.7,5,2,2,6,168,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,435.6994737,474.7947368,422.6,430.3643103,455.14115087083337,28.288378947333324,437.54845411577384,43.63628482510663,27.1,93.0,0.0,795.24,14.099999999999998,24.421916386721172,36.9,1.0402074252338795,1.0123968537174493
2026-06-17 03:00:00,446.1849123,28.0,88,0.0,10.3,4,3,2,6,168,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,427.0150877,462.8084211,413.19,413.7324138,455.8821011625,27.98830631808016,437.6860610824404,43.649943084301846,27.0,94.0,0.0,784.0,19.798989873223327,19.79898987322333,36.8,1.0415732683719903,1.032104503918373
2026-06-17 04:00:00,435.1301754,27.7,91,0.0,9.0,6,4,2,6,168,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,415.2564912,457.2085965,408.345,406.1437931,456.68084385416665,27.39593823516044,437.87923071636897,43.61509737907657,26.9,94.0,0.0,767.29,23.988903684828948,13.850000000000003,36.8,1.0429378966137268,1.0224371226516722
2026-06-17 05:00:00,429.6442105,27.5,92,0.0,8.8,8,5,2,6,168,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,402.5352632,438.9807018,403.5,404.8417241,457.50891402916665,26.370568610957363,438.05176870624996,43.5460820122962,26.6,95.0,0.0,756.25,26.56296022294938,7.117523740319321,36.7,1.0444174563668165,0.9943028083255808
2026-06-17 06:00:00,423.7338596,28.2,90,0.0,9.9,92,6,2,6,168,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,400.9412281,443.1107018,402.14,399.7860345,458.63845349999997,24.42208305326462,438.19940255386905,43.474801599376256,27.2,94.0,0.0,795.24,28.2,1.726751986797768e-15,37.2,1.0466432652053155,1.0028895296491402
2026-06-17 07:00:00,430.1307018,28.8,87,0.0,10.7,76,7,2,6,168,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,413.1242105,443.3073684,412.06,401.1796552,459.58814647916665,22.443932161050096,438.3419491318452,43.3872687446242,28.2,90.0,0.0,829.44,27.81866379712517,-7.453988498952595,37.5,1.0484694594925275,1.0297735818483749
2026-06-17 08:00:00,450.4598246,30.1,81,0.0,14.8,98,8,2,6,168,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,423.5578947,447.5926316,416.04,407.0898276,460.2967502833333,21.144004109979484,438.5142767901786,43.29618086275377,29.4,85.0,0.0,906.0100000000001,26.067364653911607,-15.049999999999994,38.2,1.0496733507802696,1.0404531530475414
