Time,Demand,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,cloud_cover,hour,dow,month,doy,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_holiday,demand_lag_24,demand_lag_48,demand_lag_72,demand_lag_168,demand_roll24_mean,demand_roll24_std,demand_roll168_mean,demand_roll168_std,temperature_2m_lag_24,relative_humidity_2m_lag_24,precipitation_lag_24,temp_squared,temp_hour_sin,temp_hour_cos,humidex_proxy
2026-06-18 01:00:00,443.62,28.6,86,0.0,11.9,73,1,3,6,169,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,462.0942105,436.4861404,479.0178947,409.0022414,477.5848047250001,32.53497579668647,444.58015695059527,46.10253266479231,28.4,87.0,0.0,817.96,7.402224689932093,27.625478631867356,37.2
2026-06-18 02:00:00,429.68,28.3,87,0.0,12.0,67,2,3,6,169,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,453.4822807,435.6994737,474.7947368,403.1937931,476.81504595416664,33.13050329483568,444.7862150375,46.01985174876717,28.2,87.0,0.0,800.89,14.149999999999999,24.508518927099615,37.0
2026-06-18 03:00:00,431.19,28.1,88,0.0,12.2,29,3,3,6,169,0,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,446.1849123,427.0150877,462.8084211,393.8046552,475.82328425833333,34.198388056033004,444.9438710309524,45.92177418790089,28.0,88.0,0.0,789.6100000000001,19.869700551341985,19.86970055134199,36.900000000000006
2026-06-18 04:00:00,420.06,28.0,89,0.0,11.5,9,4,3,6,169,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,435.1301754,415.2564912,457.2085965,382.5946552,475.1984962458334,34.89332344222434,445.1664028452381,45.76278269028366,27.7,91.0,0.0,784.0,24.24871130596428,14.000000000000004,36.9
2026-06-18 05:00:00,412.69,27.9,91,0.0,9.7,5,5,3,6,169,0,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,429.6442105,402.5352632,438.9807018,378.6884483,474.57057227083334,35.77030161643742,445.38941085,45.546813679734264,27.5,92.0,0.0,778.41,26.949330553465003,7.221051358360328,37.0
2026-06-18 06:00:00,410.65,28.1,91,0.0,8.0,27,6,3,6,169,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,423.7338596,400.9412281,443.1107018,380.255,473.86414683333334,36.847325042929,445.5918010386905,45.323646189903386,28.2,90.0,0.0,789.6100000000001,28.1,1.7206287528020313e-15,37.2
2026-06-18 07:00:00,421.09,29.2,88,0.0,9.1,8,7,3,6,169,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,430.1307018,413.1242105,443.3073684,382.3810345,473.3189860166667,37.70799315508362,445.77272365773814,45.12148788436342,28.8,87.0,0.0,852.64,28.205034127640793,-7.557516116993602,38.0
2026-06-18 08:00:00,432.34,31.0,81,0.0,10.9,33,8,3,6,169,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,450.4598246,423.5578947,447.5926316,390.4477586,472.94229010833334,38.20014038808785,446.0031341666667,44.89410289925623,30.1,81.0,0.0,961.0,26.8467875173176,-15.499999999999993,39.1
2026-06-18 09:00:00,443.38,32.5,76,0.0,11.2,5,9,3,6,169,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,464.7440351,435.9168421,452.2815789,408.2494828,472.1872974166667,38.83754965962147,446.2524927464286,44.69960110725237,31.3,75.0,0.0,1056.25,22.980970388562795,-22.980970388562792,40.1
2026-06-18 10:00:00,436.78,34.0,69,0.0,10.7,9,10,3,6,169,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,466.1310526,458.4817544,474.9914035,431.9835088,471.2971292875,39.25812666317486,446.4616029678572,44.602821460726155,32.1,72.0,0.0,1156.0,16.999999999999996,-29.444863728670917,40.9
2026-06-18 11:00:00,471.4303448,32.7,72,0.5,9.4,100,11,3,6,169,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,482.3656897,468.2426316,507.3051786,439.5189474,470.0741687625,39.878326028141565,446.4901535107143,44.59503290054091,33.5,68.0,0.0,1069.2900000000002,8.463382774852438,-31.58577451965253,39.900000000000006
2026-06-18 12:00:00,490.3205172,30.4,76,10.3,13.8,41,12,3,6,169,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,487.0191228,481.3054386,503.565,464.4231579,469.61852939166664,39.79416362569253,446.6801023047619,44.63310753370898,34.0,64.0,0.1,924.16,3.7229262694079534e-15,-30.4,38.0
2026-06-18 13:00:00,511.6825862,31.6,70,0.0,10.9,52,13,3,6,169,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,519.6554386,479.0167857,542.7672222,482.2473684,469.7560874916667,39.86257537879151,446.8342532529762,44.73934916928231,34.6,62.0,0.1,998.5600000000001,-8.178681825239657,-30.52325611073456,38.6
2026-06-18 14:00:00,484.0441379,32.0,72,0.1,9.8,44,14,3,6,169,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,513.7968421,489.7105357,528.7274074,459.4857895,469.42388530833335,39.459836773290476,447.00946288273815,44.93607062595057,34.4,61.0,0.0,1024.0,-15.999999999999991,-27.712812921102042,39.2
2026-06-18 15:00:00,465.7480702,32.8,68,0.1,9.3,36,15,3,6,169,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,512.1821053,477.4258929,524.062037,429.2094737,468.1841893,38.45987106898852,447.15564352797617,45.01677282248991,32.7,67.0,0.6,1075.84,-23.193102422918745,-23.19310242291877,39.599999999999994
