Time,Demand
2026-04-13 10:00:00 PM,412.7103636
2026-04-13 11:00:00 PM,385.5037736
2026-04-14 12:00:00 AM,419.6691071
2026-04-14 01:00:00 AM,398.0182143
2026-04-14 02:00:00 AM,402.1376786
2026-04-14 03:00:00 AM,411.7778571
2026-04-14 04:00:00 AM,395.0682143
2026-04-14 05:00:00 AM,382.7730357
2026-04-14 06:00:00 AM,373.0907143
2026-04-14 07:00:00 AM,375.8089286
2026-04-14 08:00:00 AM,390.2007143
2026-04-14 09:00:00 AM,486.16
2026-04-14 10:00:00 AM,396.84875
2026-04-14 11:00:00 AM,398.7241071
2026-04-14 12:00:00 PM,435.5253571
2026-04-14 01:00:00 PM,446.7142857
2026-04-14 02:00:00 PM,435.5358929
2026-04-14 03:00:00 PM,426.5383929
2026-04-14 04:00:00 PM,411.2616071
2026-04-14 05:00:00 PM,397.9128571
2026-04-14 06:00:00 PM,383.0258929
2026-04-14 07:00:00 PM,417.1510714
2026-04-14 08:00:00 PM,428.7825
2026-04-14 09:00:00 PM,439.0126786
2026-04-14 10:00:00 PM,440.3928571
2026-04-14 11:00:00 PM,454.1647917
2026-04-15 12:00:00 AM,424.4245455
2026-04-15 01:00:00 AM,416.4970909
2026-04-15 02:00:00 AM,414.1585455
2026-04-15 03:00:00 AM,406.8961818
2026-04-15 04:00:00 AM,394.2809091
2026-04-15 05:00:00 AM,382.8992727
2026-04-15 06:00:00 AM,382.3521818
2026-04-15 07:00:00 AM,377.482
2026-04-15 08:00:00 AM,388.8314545
2026-04-15 09:00:00 AM,399.7947273
2026-04-15 10:00:00 AM,423.4698182
2026-04-15 11:00:00 AM,447.6598182
2026-04-15 12:00:00 PM,464.5123636
2026-04-15 01:00:00 PM,495.1065455
2026-04-15 02:00:00 PM,476.1192727
2026-04-15 03:00:00 PM,454.5145455
2026-04-15 04:00:00 PM,459.0855556
2026-04-15 05:00:00 PM,463.8164815
2026-04-15 06:00:00 PM,433.6281481
2026-04-15 07:00:00 PM,474.7205556
2026-04-15 08:00:00 PM,454.89
2026-04-15 09:00:00 PM,448.1216981
2026-04-15 10:00:00 PM,468.46
2026-04-15 11:00:00 PM,474.5523913
2026-04-16 12:00:00 AM,415.4210345
2026-04-16 01:00:00 AM,424.6881034
2026-04-16 02:00:00 AM,421.9618966
2026-04-16 03:00:00 AM,405.8793103
2026-04-16 04:00:00 AM,389.2067241
2026-04-16 05:00:00 AM,389.3491379
2026-04-16 06:00:00 AM,381.0687931
2026-04-16 07:00:00 AM,388.7387931
2026-04-16 08:00:00 AM,394.5167241
2026-04-16 09:00:00 AM,398.25
2026-04-16 10:00:00 AM,410.5789655
2026-04-16 11:00:00 AM,416.5196552
2026-04-16 12:00:00 PM,441.04
2026-04-16 01:00:00 PM,451.32
2026-04-16 02:00:00 PM,445.45
2026-04-16 03:00:00 PM,460.58
2026-04-16 04:00:00 PM,454.1
2026-04-16 05:00:00 PM,442.32
2026-04-16 06:00:00 PM,416.2
2026-04-16 07:00:00 PM,446.42
2026-04-16 08:00:00 PM,438.96
2026-04-16 09:00:00 PM,439.04
2026-04-16 10:00:00 PM,459.6864815
2026-04-16 11:00:00 PM,463.5811538
2026-04-17 12:00:00 AM,419.28
2026-04-17 01:00:00 AM,391.15
2026-04-17 02:00:00 AM,390.14
2026-04-17 03:00:00 AM,387.2
2026-04-17 04:00:00 AM,377.08
2026-04-17 05:00:00 AM,454.2
2026-04-17 06:00:00 AM,361.41
2026-04-17 07:00:00 AM,363.42
2026-04-17 08:00:00 AM,383.26
2026-04-17 09:00:00 AM,390.58
2026-04-17 10:00:00 AM,386.81
2026-04-17 11:00:00 AM,388.69
2026-04-17 12:00:00 PM,400.42
2026-04-17 01:00:00 PM,400.42
2026-04-17 02:00:00 PM,379.88
2026-04-17 03:00:00 PM,403.9
2026-04-17 04:00:00 PM,400.9
2026-04-17 05:00:00 PM,385.32
2026-04-17 06:00:00 PM,371.2
2026-04-17 07:00:00 PM,416.16
2026-04-17 08:00:00 PM,428.7
2026-04-17 09:00:00 PM,438.61
2026-04-17 10:00:00 PM,441.35
2026-04-17 11:00:00 PM,449.0107018
2026-04-18 12:00:00 AM,444.1682759
2026-04-18 01:00:00 AM,439.7636207
2026-04-18 02:00:00 AM,523.797931
2026-04-18 03:00:00 AM,426.4987931
2026-04-18 04:00:00 AM,422.0636207
2026-04-18 05:00:00 AM,411.1486207
2026-04-18 06:00:00 AM,404.7501724
2026-04-18 07:00:00 AM,408.9412069
2026-04-18 08:00:00 AM,425.6036207
